sample_name	primers
DelD_E2227_1	DelD
DelD_E2227_2	DelD
DelD_E2227_3	DelD
DelD_E2227_5	DelD
DelD_E2227_7	DelD
DelD_E2227_8	DelD
DelD_E2227_9	DelD
DelD_E2227_10	DelD
DelD_E2227_11	DelD
DelD_E2227_12	DelD
DelD_E2227_13	DelD
DelD_E2227_14	DelD
DelD_E2227_16	DelD
DelD_E2227_17	DelD
DelD_E2227_18	DelD
DelD_E2227_19	DelD
DelD_E2227_20	DelD
DelD_E2227_21	DelD
DelD_E2211_1	DelD
DelD_E2211_2	DelD
DelD_E2211_3	DelD
DelD_E2211_4	DelD
DelD_E2211_5	DelD
DelD_E2211_6	DelD
DelD_E2211_7	DelD
DelD_E2211_8	DelD
DelD_E2211_9	DelD
DelD_E2211_10	DelD
DelD_E2211_11	DelD
DelD_E2211_12	DelD
DelE_E2227_1	DelE
DelE_E2227_2	DelE
DelE_E2227_3	DelE
DelE_E2227_4	DelE
DelE_E2227_6	DelE
DelE_E2227_7	DelE
DelE_E2227_8	DelE
DelE_E2227_9	DelE
DelE_E2227_10	DelE
DelE_E2227_11	DelE
DelE_E2227_12	DelE
DelE_E2227_13	DelE
DelE_E2227_14	DelE
DelE_E2227_15	DelE
DelE_E2227_16	DelE
DelE_E2227_18	DelE
DelE_E2227_19	DelE
DelE_E2227_20	DelE
DelE_E2227_21	DelE
DelE_E2227_22	DelE
DelE_E2227_23	DelE
DelE_E2227_24	DelE
DelE_E2211_1	DelE
DelE_E2211_2	DelE
DelE_E2211_3	DelE
DelE_E2211_4	DelE
DelE_E2211_5	DelE
DelE_E2211_6	DelE
DelE_E2211_7	DelE
DelE_E2211_8	DelE
DelE_E2211_9	DelE
DelE_E2211_10	DelE
DelE_E2211_11	DelE
DelE_E2211_12	DelE
