experiment	cell_line	mCh_status	population	mTurq	mCherry	GFP	replicate	construct	mCherry_selection												
E1665	CBS16	mCh	mCh_low		72		rep1	13	none												
E1665	CBS16	mCh	mCh_mid		316		rep1	13	none												
E1665	CBS16	mCh	mCh_close		878		rep1	13	none												
E1665	CBS16	mCh	double_pos		1950		rep1	13	none												
E1665	CBS16	mCh	mCh_high		6735		rep1	13	none												
E2022	CBS16	mCh	double_pos	633	14877	5500	rep2	13	none												
E2022	CBS16	mCh	mCh_mid	652	11034	8793	rep2	13	none												
E2022	CBS16	mCh	mCh_low	629	414	6375	rep2	13	none												
E2022	16A	mCh	double_pos	672	13975	5319	rep1	16	none												
E2022	16A	mCh	mCh_mid	699	10304	8198	rep1	16	none												
E2022	16A	mCh	mCh_low	676	461	5446	rep1	16	none												
E2022	37A	mCh	double_pos	612	13443	5236	rep1	37	none												
E2022	37A	mCh	mCh_mid	626	9569	7801	rep1	37	none												
E2022	37A	mCh	mCh_low	589	509	5565	rep1	37	none												
E2022	CRE6	mCh	double_pos	573	13562	5332	rep1	13_flox	none												
E2022	CRE6	mCh	mCh_mid	592	10069	8025	rep1	13_flox	none												
E2022	CRE6	mCh	mCh_low	590	440	6156	rep1	13_flox	none												
E2226	CBS16	mCh	double_pos	234	12125	18311	rep3	13	none												
E2226	CBS16	mCh	mCh_mid	253	8177	24840	rep3	13	none												
E2226	CBS16	mCh	mCh_high	284	23200	17411	rep3	13	none												
E2226	16A	mCh	double_pos	245	12497	19124	rep2	16	none												
E2226	16A	mCh	mCh_mid	257	5995	24169	rep2	16	none												
E2226	16A	mCh	mCh_high	325	25638	18016	rep2	16	none												
E2226	CRE6	mCh	double_pos	230	10214	17309	rep2	13_flox	none												
E2226	CRE6	mCh	mCh_mid	209	4983	16817	rep2	13_flox	none												
E2226	CRE6	mCh	mCh_high	330	22483	16532	rep2	13_flox	none												
E2226	3xCTCF	mCh	double_pos	228	11189	17660	rep1	38	none												
E2226	3xCTCF	mCh	mCh_mid	224	5721	19882	rep1	38	none												
E2226	3xCTCF	mCh	mCh_high	289	25488	16919	rep1	38	none												
E2347	CRE6	mCh	double_pos	279	10597	17119	rep3	13_flox	none												
E2347	CRE6	mCh	mCh_mid	288	4761	20459	rep3	13_flox	none												
E2347	3xCTCF	mCh	double_pos	286	11397	16358	rep2	38	none												
E2347	3xCTCF	mCh	mCh_mid	278	4116	17187	rep2	38	none												
E2347	Sox2P_DelD2	mCh	P1	21314	17761	24787	rep2	34	mCh+												
E2347	Sox2P_DelD2	mCh	P2	8508	16123	22174	rep2	34	mCh+												
E2347	Sox2P_DelD2	mCh	P3	3598	19381	24153	rep2	34	mCh+												
E2347	Sox2P_DelD2	mCh	P4	1818	18026	22405	rep2	34	mCh+												
E2347	Sox2P_DelD2	mCh	P5	799	14453	17920	rep2	34	mCh+												
E2347	Sox2P_DelD2	mCh	P6	337	12495	15186	rep2	34	mCh+												
E2347	Sox2P_DelE12	mCh	P1	0	0	0	rep2	34	mCh+												
E2347	Sox2P_DelE12	mCh	P2	8500	12847	21185	rep2	34	mCh+												
E2347	Sox2P_DelE12	mCh	P3	3541	18223	23533	rep2	34	mCh+												
E2347	Sox2P_DelE12	mCh	P4	1837	16169	21163	rep2	34	mCh+												
E2347	Sox2P_DelE12	mCh	P5	825	11994	15548	rep2	34	mCh+												
E2347	Sox2P_DelE12	mCh	P6	332	10422	13278	rep2	34	mCh+												
E2138	23_A1_Sox2P	mCh	P1	23868	11895	25541	rep1	34	none												
E2138	23_A1_Sox2P	mCh	P2	7867	7042	16798	rep1	34	none												
E2138	23_A1_Sox2P	mCh	P3	4419	5638	13260	rep1	34	none												
E2138	23_A1_Sox2P	mCh	P4	2116	4877	11984	rep1	34	none												
E2138	23_A1_Sox2P	mCh	P5	1187	4130	10158	rep1	34	none												
E2138	23_A1_Sox2P	mCh	P6	231	5309	12170	rep1	34	none												
E2282	Sox2P_DelD2	mCh	P1	0	0	0	rep1	34	mCh+												
