experiment	replicate	cell_line	population	recorded_count	total_recorded	sorted_count
E1665	rep1	CBS16	mCh_low	488,5	142160	5500
E1665	rep1	CBS16	mCh_mid	243	142160	5500
E1665	rep1	CBS16	mCh_close	401,5	142160	4700
E1665	rep1	CBS16	double_pos	96623,5	142160	7500
E1665	rep1	CBS16	mCh_high	21,5	142160	58
E2022	rep2	CBS16	double_pos	72819	100313	6000
E2022	rep2	CBS16	mCh_mid	239	100313	6000
E2022	rep2	CBS16	mCh_low	280	100313	4000
E2022	rep1	16A	double_pos	116379	150193	6000
E2022	rep1	16A	mCh_mid	406	150193	6000
E2022	rep1	16A	mCh_low	446	150193	1500
E2022	rep1	37A	double_pos	107287	141304	3500
E2022	rep1	37A	mCh_mid	375	141304	3500
E2022	rep1	37A	mCh_low	342	141304	3000
E2022	rep1	CRE6	double_pos	120345	149746	6000
E2022	rep1	CRE6	mCh_mid	294	149746	3000
E2022	rep1	CRE6	mCh_low	325	149746	3000
E2226	rep3	CBS16	double_pos	98354	101614	10000
E2226	rep3	CBS16	mCh_mid	535	101614	10000
E2226	rep3	CBS16	mCh_high	325	101614	2000
E2226	rep2	16A	double_pos	48958	50030	10000
E2226	rep2	16A	mCh_mid	145	50030	10000
E2226	rep2	16A	mCh_high	87	50030	1000
E2226	rep2	CRE6	double_pos	48295	50075	10000
E2226	rep2	CRE6	mCh_mid	316	50075	10000
E2226	rep2	CRE6	mCh_high	52	50075	0
E2226	rep1	3xCTCF	double_pos	97786	100893	10000
E2226	rep1	3xCTCF	mCh_mid	720	100893	10000
E2226	rep1	3xCTCF	mCh_high	192	100893	1000
E2347	rep3	CRE6	double_pos	145691	150000	0
E2347	rep3	CRE6	mCh_mid	204	150000	10000
E2347	rep2	3xCTCF	double_pos	95783	100098	0
E2347	rep2	3xCTCF	mCh_mid	246	100098	20000
E2347	rep2	Sox2P_DelD2	P1	2	99466	0
E2347	rep2	Sox2P_DelD2	P2	86	99466	4690
E2347	rep2	Sox2P_DelD2	P3	847	99466	10000
E2347	rep2	Sox2P_DelD2	P4	10959	99466	10000
E2347	rep2	Sox2P_DelD2	P5	69141	99466	10000
E2347	rep2	Sox2P_DelD2	P6	14157	99466	10000
E2347	rep2	Sox2P_DelE12	P1	0	99413	0
E2347	rep2	Sox2P_DelE12	P2	64	99413	3732
E2347	rep2	Sox2P_DelE12	P3	947	99413	10000
E2347	rep2	Sox2P_DelE12	P4	12625	99413	10000
E2347	rep2	Sox2P_DelE12	P5	69716	99413	10000
E2347	rep2	Sox2P_DelE12	P6	12220	99413	10000
E2138	rep1	23_A1_Sox2P	P1	75	101030	3094
E2138	rep1	23_A1_Sox2P	P2	19725	101030	5000
E2138	rep1	23_A1_Sox2P	P3	31894	101030	5000
E2138	rep1	23_A1_Sox2P	P4	31018	101030	5000
E2138	rep1	23_A1_Sox2P	P5	14882	101030	5000
E2138	rep1	23_A1_Sox2P	P6	1028	101030	5000
E2282	rep1	Sox2P_DelD2	P1	0	99551	0
E2282	rep1	Sox2P_DelD2	P2	39	99551	2500
E2282	rep1	Sox2P_DelD2	P3	133	99551	2500
E2282	rep1	Sox2P_DelD2	P4	1505	99551	2500
E2282	rep1	Sox2P_DelD2	P5	57679	99551	2500
E2282	rep1	Sox2P_DelD2	P6	31955	99551	2500
E2282	rep1	Sox2P_DelE12	P1	2	99099	0
E2282	rep1	Sox2P_DelE12	P2	55	99099	2500
E2282	rep1	Sox2P_DelE12	P3	336	99099	2500
E2282	rep1	Sox2P_DelE12	P4	4035	99099	2500
E2282	rep1	Sox2P_DelE12	P5	62766	99099	2500
E2282	rep1	Sox2P_DelE12	P6	25183	99099	2500
E2285	rep1	23_MK01_C5	P1	6	99669	355
E2285	rep1	23_MK01_C5	P2	1598	99669	2500
E2285	rep1	23_MK01_C5	P3	13567	99669	2500
E2285	rep1	23_MK01_C5	P4	37652	99669	2500
E2285	rep1	23_MK01_C5	P5	42800	99669	2500
E2285	rep1	23_MK01_C5	P6	1577	99669	2500
E2285	rep1	23_MK02_C2	P1	0	149492	59
E2285	rep1	23_MK02_C2	P2	74	149492	1000
E2285	rep1	23_MK02_C2	P3	1383	149492	2500
E2285	rep1	23_MK02_C2	P4	17600	149492	2500
E2285	rep1	23_MK02_C2	P5	108218	149492	2500
E2285	rep1	23_MK02_C2	P6	15706	149492	2500
E2285	rep1	23_MK03_C1	P1	7	99613	500
E2285	rep1	23_MK03_C1	P2	1201	99613	2500
E2285	rep1	23_MK03_C1	P3	10856	99613	2500
E2285	rep1	23_MK03_C1	P4	35386	99613	2500
E2285	rep1	23_MK03_C1	P5	46839	99613	2500
E2285	rep1	23_MK03_C1	P6	2928	99613	2500
E2292	rep1	8_34	P1	362	48384	5000
E2292	rep1	8_34	P2	21178	48384	5000
E2292	rep1	8_34	P3	19538	48384	5000
E2292	rep1	8_34	P4	5585	48384	5000
E2292	rep1	8_34	P5	1458	48384	5000
E2292	rep1	8_34	P6	1599	48384	5000
E2292	rep1	8_MK01_C1	P0	48	49212	1000
E2292	rep1	8_MK01_C1	P1	44204	49212	5000
E2292	rep1	8_MK01_C1	P2	4509	49212	5000
E2292	rep1	8_MK01_C1	P3	171	49212	5000
E2292	rep1	8_MK01_C1	P4	61	49212	1475
E2292	rep1	8_MK01_C1	P5	81	49212	5000
E2292	rep1	8_MK01_C1	P6	118	49212	380
E2292	rep1	8_MK01_C2	P0	0	99687	315
E2292	rep1	8_MK01_C2	P1	2526	99687	5000
E2292	rep1	8_MK01_C2	P2	47151	99687	5000
