ID	Forward	Reverse	home_location	home_sequence	hybrid
23_MK01_ctrl	23_MK01_ctrl_Fw	23_MK01_ctrl_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_MK02_ctrl	23_MK02_ctrl_Fw	23_MK02_ctrl_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_MK03_ctrl	23_MK03_ctrl_Fw	23_MK03_ctrl_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_MK01_P2_1	23_MK01_P2_1_Fw	23_MK01_P2_1_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_MK01_P2_2	23_MK01_P2_2_Fw	23_MK01_P2_2_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_MK01_P2_3	23_MK01_P2_3_Fw	23_MK01_P2_3_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_MK01_P2_4	23_MK01_P2_4_Fw	23_MK01_P2_4_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_MK01_P2_5	23_MK01_P2_5_Fw	23_MK01_P2_5_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_MK01_P2_6	23_MK01_P2_6_Fw	23_MK01_P2_6_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_MK01_P2_7	23_MK01_P2_7_Fw	23_MK01_P2_7_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_MK01_P2_8	23_MK01_P2_8_Fw	23_MK01_P2_8_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_MK01_P2_9	23_MK01_P2_9_Fw	23_MK01_P2_9_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_MK01_P2_10	23_MK01_P2_10_Fw	23_MK01_P2_10_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_MK01_P1_1	23_MK01_P1_1_Fw	23_MK01_P1_1_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_MK01_P3_1	23_MK01_P3_1_Fw	23_MK01_P3_1_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_MK01_P3_2	23_MK01_P3_2_Fw	23_MK01_P3_2_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_MK01_P3_3	23_MK01_P3_3_Fw	23_MK01_P3_3_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_MK01_P3_4	23_MK01_P3_4_Fw	23_MK01_P3_4_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_MK01_P3_5	23_MK01_P3_5_Fw	23_MK01_P3_5_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_MK01_P3_6	23_MK01_P3_6_Fw	23_MK01_P3_6_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_MK01_P3_7	23_MK01_P3_7_Fw	23_MK01_P3_7_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_MK01_P3_8	23_MK01_P3_8_Fw	23_MK01_P3_8_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_MK01_P3_9	23_MK01_P3_9_Fw	23_MK01_P3_9_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_MK01_P3_10	23_MK01_P3_10_Fw	23_MK01_P3_10_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_MK03_P1_1	23_MK03_P1_1_Fw	23_MK03_P1_1_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_MK01_P4_1	23_MK01_P4_1_Fw	23_MK01_P4_1_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_MK01_P4_2	23_MK01_P4_2_Fw	23_MK01_P4_2_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_MK01_P4_3	23_MK01_P4_3_Fw	23_MK01_P4_3_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_MK01_P4_4	23_MK01_P4_4_Fw	23_MK01_P4_4_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_MK01_P4_5	23_MK01_P4_5_Fw	23_MK01_P4_5_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_MK01_P4_6	23_MK01_P4_6_Fw	23_MK01_P4_6_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_MK01_P4_7	23_MK01_P4_7_Fw	23_MK01_P4_7_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_MK01_P4_8	23_MK01_P4_8_Fw	23_MK01_P4_8_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_MK01_P4_9	23_MK01_P4_9_Fw	23_MK01_P4_9_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_MK01_P4_10	23_MK01_P4_10_Fw	23_MK01_P4_10_Rv	F1CBS_16	F1CBS_16	CAST-129S
E2339_3xCTCF_mid_new	E2339_3xCTCF_mid_new_Fw	E2339_3xCTCF_mid_new_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_MK01_P5_1	23_MK01_P5_1_Fw	23_MK01_P5_1_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_MK01_P5_2	23_MK01_P5_2_Fw	23_MK01_P5_2_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_MK01_P5_3	23_MK01_P5_3_Fw	23_MK01_P5_3_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_MK01_P5_4	23_MK01_P5_4_Fw	23_MK01_P5_4_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_MK01_P5_5	23_MK01_P5_5_Fw	23_MK01_P5_5_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_MK01_P5_6	23_MK01_P5_6_Fw	23_MK01_P5_6_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_MK01_P5_7	23_MK01_P5_7_Fw	23_MK01_P5_7_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_MK01_P5_8	23_MK01_P5_8_Fw	23_MK01_P5_8_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_MK01_P5_9	23_MK01_P5_9_Fw	23_MK01_P5_9_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_MK01_P5_10	23_MK01_P5_10_Fw	23_MK01_P5_10_Rv	F1CBS_16	F1CBS_16	CAST-129S
E2339_3xCTCF_high_new	E2339_3xCTCF_high_new_Fw	E2339_3xCTCF_high_new_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_MK01_P6_1	23_MK01_P6_1_Fw	23_MK01_P6_1_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_MK01_P6_2	23_MK01_P6_2_Fw	23_MK01_P6_2_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_MK01_P6_3	23_MK01_P6_3_Fw	23_MK01_P6_3_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_MK01_P6_4	23_MK01_P6_4_Fw	23_MK01_P6_4_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_MK01_P6_5	23_MK01_P6_5_Fw	23_MK01_P6_5_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_MK01_P6_6	23_MK01_P6_6_Fw	23_MK01_P6_6_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_MK01_P6_7	23_MK01_P6_7_Fw	23_MK01_P6_7_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_MK01_P6_8	23_MK01_P6_8_Fw	23_MK01_P6_8_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_MK01_P6_9	23_MK01_P6_9_Fw	23_MK01_P6_9_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_MK01_P6_10	23_MK01_P6_10_Fw	23_MK01_P6_10_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_MK02_P2_1	23_MK02_P2_1_Fw	23_MK02_P2_1_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_MK02_P2_2	23_MK02_P2_2_Fw	23_MK02_P2_2_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_MK02_P2_3	23_MK02_P2_3_Fw	23_MK02_P2_3_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_MK02_P2_4	23_MK02_P2_4_Fw	23_MK02_P2_4_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_MK02_P2_5	23_MK02_P2_5_Fw	23_MK02_P2_5_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_MK02_P2_6	23_MK02_P2_6_Fw	23_MK02_P2_6_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_MK02_P2_7	23_MK02_P2_7_Fw	23_MK02_P2_7_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_MK02_P2_8	23_MK02_P2_8_Fw	23_MK02_P2_8_Rv	F1CBS_16	F1CBS_16	CAST-129S
