ID	Forward	Reverse	home_location	home_sequence	hybrid
CBS16_C1	CBS16_C1_Fw	CBS16_C1_Rv	F1CBS_16	F1CBS_16	CAST-129S
CBS16_C2	CBS16_C2_Fw	CBS16_C2_Rv	F1CBS_16	F1CBS_16	CAST-129S
CBS16_C3	CBS16_C3_Fw	CBS16_C3_Rv	F1CBS_16	F1CBS_16	CAST-129S
CBS16_C4	CBS16_C4_Fw	CBS16_C4_Rv	F1CBS_16	F1CBS_16	CAST-129S
CBS16_C5	CBS16_C5_Fw	CBS16_C5_Rv	F1CBS_16	F1CBS_16	CAST-129S
CBS16_C6	CBS16_C6_Fw	CBS16_C6_Rv	F1CBS_16	F1CBS_16	CAST-129S
CBS16_C7	CBS16_C7_Fw	CBS16_C7_Rv	F1CBS_16	F1CBS_16	CAST-129S
CBS16_C8	CBS16_C8_Fw	CBS16_C8_Rv	F1CBS_16	F1CBS_16	CAST-129S
CBS16_C9	CBS16_C9_Fw	CBS16_C9_Rv	F1CBS_16	F1CBS_16	CAST-129S
CBS16_C10	CBS16_C10_Fw	CBS16_C10_Rv	F1CBS_16	F1CBS_16	CAST-129S
CBS16_C11	CBS16_C11_Fw	CBS16_C11_Rv	F1CBS_16	F1CBS_16	CAST-129S
CBS16_C12	CBS16_C12_Fw	CBS16_C12_Rv	F1CBS_16	F1CBS_16	CAST-129S
CBS16_M1	CBS16_M1_Fw	CBS16_M1_Rv	F1CBS_16	F1CBS_16	CAST-129S
CBS16_M2	CBS16_M2_Fw	CBS16_M2_Rv	F1CBS_16	F1CBS_16	CAST-129S
CBS16_M3	CBS16_M3_Fw	CBS16_M3_Rv	F1CBS_16	F1CBS_16	CAST-129S
CBS16_M4	CBS16_M4_Fw	CBS16_M4_Rv	F1CBS_16	F1CBS_16	CAST-129S
CBS16_M5	CBS16_M5_Fw	CBS16_M5_Rv	F1CBS_16	F1CBS_16	CAST-129S
CBS16_M6	CBS16_M6_Fw	CBS16_M6_Rv	F1CBS_16	F1CBS_16	CAST-129S
CBS16_M7	CBS16_M7_Fw	CBS16_M7_Rv	F1CBS_16	F1CBS_16	CAST-129S
