ID	Forward	Reverse	home_location	home_sequence	hybrid
D2_P2_1	D2_P2_1_Fw	D2_P2_1_Rv	F1CBS_16	F1CBS_16	CAST-129S
D2_P2_2	D2_P2_2_Fw	D2_P2_2_Rv	F1CBS_16	F1CBS_16	CAST-129S
D2_P2_3	D2_P2_3_Fw	D2_P2_3_Rv	F1CBS_16	F1CBS_16	CAST-129S
D2_P2_4	D2_P2_4_Fw	D2_P2_4_Rv	F1CBS_16	F1CBS_16	CAST-129S
D2_P2_5	D2_P2_5_Fw	D2_P2_5_Rv	F1CBS_16	F1CBS_16	CAST-129S
D2_P3_1	D2_P3_1_Fw	D2_P3_1_Rv	F1CBS_16	F1CBS_16	CAST-129S
D2_P3_2	D2_P3_2_Fw	D2_P3_2_Rv	F1CBS_16	F1CBS_16	CAST-129S
D2_P3_3	D2_P3_3_Fw	D2_P3_3_Rv	F1CBS_16	F1CBS_16	CAST-129S
D2_P3_4	D2_P3_4_Fw	D2_P3_4_Rv	F1CBS_16	F1CBS_16	CAST-129S
D2_P3_5	D2_P3_5_Fw	D2_P3_5_Rv	F1CBS_16	F1CBS_16	CAST-129S
D2_P3_6	D2_P3_6_Fw	D2_P3_6_Rv	F1CBS_16	F1CBS_16	CAST-129S
D2_P3_7	D2_P3_7_Fw	D2_P3_7_Rv	F1CBS_16	F1CBS_16	CAST-129S
D2_P3_8	D2_P3_8_Fw	D2_P3_8_Rv	F1CBS_16	F1CBS_16	CAST-129S
D2_P4_1	D2_P4_1_Fw	D2_P4_1_Rv	F1CBS_16	F1CBS_16	CAST-129S
D2_P4_2	D2_P4_2_Fw	D2_P4_2_Rv	F1CBS_16	F1CBS_16	CAST-129S
D2_P4_3	D2_P4_3_Fw	D2_P4_3_Rv	F1CBS_16	F1CBS_16	CAST-129S
D2_P4_4	D2_P4_4_Fw	D2_P4_4_Rv	F1CBS_16	F1CBS_16	CAST-129S
D2_P4_5	D2_P4_5_Fw	D2_P4_5_Rv	F1CBS_16	F1CBS_16	CAST-129S
D2_P4_6	D2_P4_6_Fw	D2_P4_6_Rv	F1CBS_16	F1CBS_16	CAST-129S
D2_P4_7	D2_P4_7_Fw	D2_P4_7_Rv	F1CBS_16	F1CBS_16	CAST-129S
D2_P4_8	D2_P4_8_Fw	D2_P4_8_Rv	F1CBS_16	F1CBS_16	CAST-129S
D2_P5_1	D2_P5_1_Fw	D2_P5_1_Rv	F1CBS_16	F1CBS_16	CAST-129S
D2_P5_2	D2_P5_2_Fw	D2_P5_2_Rv	F1CBS_16	F1CBS_16	CAST-129S
D2_P5_3	D2_P5_3_Fw	D2_P5_3_Rv	F1CBS_16	F1CBS_16	CAST-129S
D2_P5_4	D2_P5_4_Fw	D2_P5_4_Rv	F1CBS_16	F1CBS_16	CAST-129S
D2_P5_5	D2_P5_5_Fw	D2_P5_5_Rv	F1CBS_16	F1CBS_16	CAST-129S
D2_P5_6	D2_P5_6_Fw	D2_P5_6_Rv	F1CBS_16	F1CBS_16	CAST-129S
D2_P5_7	D2_P5_7_Fw	D2_P5_7_Rv	F1CBS_16	F1CBS_16	CAST-129S
D2_P5_8	D2_P5_8_Fw	D2_P5_8_Rv	F1CBS_16	F1CBS_16	CAST-129S
D2_P6_1	D2_P6_1_Fw	D2_P6_1_Rv	F1CBS_16	F1CBS_16	CAST-129S
D2_P6_2	D2_P6_2_Fw	D2_P6_2_Rv	F1CBS_16	F1CBS_16	CAST-129S
D2_P6_3	D2_P6_3_Fw	D2_P6_3_Rv	F1CBS_16	F1CBS_16	CAST-129S
D2_P6_4	D2_P6_4_Fw	D2_P6_4_Rv	F1CBS_16	F1CBS_16	CAST-129S
D2_P6_5	D2_P6_5_Fw	D2_P6_5_Rv	F1CBS_16	F1CBS_16	CAST-129S
D2_P6_6	D2_P6_6_Fw	D2_P6_6_Rv	F1CBS_16	F1CBS_16	CAST-129S
D2_P6_7	D2_P6_7_Fw	D2_P6_7_Rv	F1CBS_16	F1CBS_16	CAST-129S
D2_P6_8	D2_P6_8_Fw	D2_P6_8_Rv	F1CBS_16	F1CBS_16	CAST-129S
E12_P2_1	E12_P2_1_Fw	E12_P2_1_Rv	F1CBS_16	F1CBS_16	CAST-129S
E12_P2_2	E12_P2_2_Fw	E12_P2_2_Rv	F1CBS_16	F1CBS_16	CAST-129S
E12_P2_3	E12_P2_3_Fw	E12_P2_3_Rv	F1CBS_16	F1CBS_16	CAST-129S
E12_P2_4	E12_P2_4_Fw	E12_P2_4_Rv	F1CBS_16	F1CBS_16	CAST-129S
E12_P3_1	E12_P3_1_Fw	E12_P3_1_Rv	F1CBS_16	F1CBS_16	CAST-129S
E12_P3_2	E12_P3_2_Fw	E12_P3_2_Rv	F1CBS_16	F1CBS_16	CAST-129S
E12_P3_3	E12_P3_3_Fw	E12_P3_3_Rv	F1CBS_16	F1CBS_16	CAST-129S
E12_P3_4	E12_P3_4_Fw	E12_P3_4_Rv	F1CBS_16	F1CBS_16	CAST-129S
E12_P3_5	E12_P3_5_Fw	E12_P3_5_Rv	F1CBS_16	F1CBS_16	CAST-129S
E12_P3_6	E12_P3_6_Fw	E12_P3_6_Rv	F1CBS_16	F1CBS_16	CAST-129S
E12_P3_7	E12_P3_7_Fw	E12_P3_7_Rv	F1CBS_16	F1CBS_16	CAST-129S
E12_P3_8	E12_P3_8_Fw	E12_P3_8_Rv	F1CBS_16	F1CBS_16	CAST-129S
E12_P3_9	E12_P3_9_Fw	E12_P3_9_Rv	F1CBS_16	F1CBS_16	CAST-129S
E12_P3_10	E12_P3_10_Fw	E12_P3_10_Rv	F1CBS_16	F1CBS_16	CAST-129S
E12_P4_1	E12_P4_1_Fw	E12_P4_1_Rv	F1CBS_16	F1CBS_16	CAST-129S
E12_P4_2	E12_P4_2_Fw	E12_P4_2_Rv	F1CBS_16	F1CBS_16	CAST-129S
E12_P4_3	E12_P4_3_Fw	E12_P4_3_Rv	F1CBS_16	F1CBS_16	CAST-129S
E12_P4_4	E12_P4_4_Fw	E12_P4_4_Rv	F1CBS_16	F1CBS_16	CAST-129S
E12_P4_5	E12_P4_5_Fw	E12_P4_5_Rv	F1CBS_16	F1CBS_16	CAST-129S
E12_P4_6	E12_P4_6_Fw	E12_P4_6_Rv	F1CBS_16	F1CBS_16	CAST-129S
E12_P4_7	E12_P4_7_Fw	E12_P4_7_Rv	F1CBS_16	F1CBS_16	CAST-129S
E12_P4_8	E12_P4_8_Fw	E12_P4_8_Rv	F1CBS_16	F1CBS_16	CAST-129S
E12_P4_9	E12_P4_9_Fw	E12_P4_9_Rv	F1CBS_16	F1CBS_16	CAST-129S
E12_P4_10	E12_P4_10_Fw	E12_P4_10_Rv	F1CBS_16	F1CBS_16	CAST-129S
E12_P5_1	E12_P5_1_Fw	E12_P5_1_Rv	F1CBS_16	F1CBS_16	CAST-129S
E12_P5_2	E12_P5_2_Fw	E12_P5_2_Rv	F1CBS_16	F1CBS_16	CAST-129S
E12_P5_3	E12_P5_3_Fw	E12_P5_3_Rv	F1CBS_16	F1CBS_16	CAST-129S
E12_P5_4	E12_P5_4_Fw	E12_P5_4_Rv	F1CBS_16	F1CBS_16	CAST-129S
E12_P5_5	E12_P5_5_Fw	E12_P5_5_Rv	F1CBS_16	F1CBS_16	CAST-129S
E12_P5_6	E12_P5_6_Fw	E12_P5_6_Rv	F1CBS_16	F1CBS_16	CAST-129S
E12_P5_7	E12_P5_7_Fw	E12_P5_7_Rv	F1CBS_16	F1CBS_16	CAST-129S
E12_P5_8	E12_P5_8_Fw	E12_P5_8_Rv	F1CBS_16	F1CBS_16	CAST-129S
E12_P5_9	E12_P5_9_Fw	E12_P5_9_Rv	F1CBS_16	F1CBS_16	CAST-129S
E12_P5_10	E12_P5_10_Fw	E12_P5_10_Rv	F1CBS_16	F1CBS_16	CAST-129S
E12_P6_1	E12_P6_1_Fw	E12_P6_1_Rv	F1CBS_16	F1CBS_16	CAST-129S
E12_P6_2	E12_P6_2_Fw	E12_P6_2_Rv	F1CBS_16	F1CBS_16	CAST-129S
E12_P6_3	E12_P6_3_Fw	E12_P6_3_Rv	F1CBS_16	F1CBS_16	CAST-129S
E12_P6_4	E12_P6_4_Fw	E12_P6_4_Rv	F1CBS_16	F1CBS_16	CAST-129S
E12_P6_5	E12_P6_5_Fw	E12_P6_5_Rv	F1CBS_16	F1CBS_16	CAST-129S
E12_P6_6	E12_P6_6_Fw	E12_P6_6_Rv	F1CBS_16	F1CBS_16	CAST-129S
E12_P6_7	E12_P6_7_Fw	E12_P6_7_Rv	F1CBS_16	F1CBS_16	CAST-129S
E12_P6_8	E12_P6_8_Fw	E12_P6_8_Rv	F1CBS_16	F1CBS_16	CAST-129S
E12_P6_9	E12_P6_9_Fw	E12_P6_9_Rv	F1CBS_16	F1CBS_16	CAST-129S
E12_P6_10	E12_P6_10_Fw	E12_P6_10_Rv	F1CBS_16	F1CBS_16	CAST-129S
CRE_mid_1	CRE_mid_1_Fw	CRE_mid_1_Rv	F1CBS_16	F1CBS_16	CAST-129S
CRE_mid_2	CRE_mid_2_Fw	CRE_mid_2_Rv	F1CBS_16	F1CBS_16	CAST-129S
CRE_mid_3	CRE_mid_3_Fw	CRE_mid_3_Rv	F1CBS_16	F1CBS_16	CAST-129S
CRE_mid_4	CRE_mid_4_Fw	CRE_mid_4_Rv	F1CBS_16	F1CBS_16	CAST-129S
CRE_mid_5	CRE_mid_5_Fw	CRE_mid_5_Rv	F1CBS_16	F1CBS_16	CAST-129S
CRE_mid_6	CRE_mid_6_Fw	CRE_mid_6_Rv	F1CBS_16	F1CBS_16	CAST-129S
CRE_mid_7	CRE_mid_7_Fw	CRE_mid_7_Rv	F1CBS_16	F1CBS_16	CAST-129S
CRE_mid_8	CRE_mid_8_Fw	CRE_mid_8_Rv	F1CBS_16	F1CBS_16	CAST-129S
CRE_mid_9	CRE_mid_9_Fw	CRE_mid_9_Rv	F1CBS_16	F1CBS_16	CAST-129S
CRE_mid_10	CRE_mid_10_Fw	CRE_mid_10_Rv	F1CBS_16	F1CBS_16	CAST-129S
CTCF_mid_1	CTCF_mid_1_Fw	CTCF_mid_1_Rv	F1CBS_16	F1CBS_16	CAST-129S
CTCF_mid_2	CTCF_mid_2_Fw	CTCF_mid_2_Rv	F1CBS_16	F1CBS_16	CAST-129S
CTCF_mid_3	CTCF_mid_3_Fw	CTCF_mid_3_Rv	F1CBS_16	F1CBS_16	CAST-129S
CTCF_mid_4	CTCF_mid_4_Fw	CTCF_mid_4_Rv	F1CBS_16	F1CBS_16	CAST-129S
CTCF_mid_5	CTCF_mid_5_Fw	CTCF_mid_5_Rv	F1CBS_16	F1CBS_16	CAST-129S
CTCF_mid_6	CTCF_mid_6_Fw	CTCF_mid_6_Rv	F1CBS_16	F1CBS_16	CAST-129S
CTCF_mid_7	CTCF_mid_7_Fw	CTCF_mid_7_Rv	F1CBS_16	F1CBS_16	CAST-129S
