chr	start	end	seq	strand	read_count	mapq	read_count_1	mapq_1	read_count_2	mapq_2	sample	experiment	launch_pad_location	genotype	insert	cell_line	replicate	sorted_gate	sample_type	pool_nr	CBS_motif_orientation
chr1	41878807	41878808	TA	-	1	23	0	-	1	23	MK01_ctrl_1	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	1	RV
chr3	35102787	35102788	TA	+	1	42	0	-	1	42	MK01_ctrl_1	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	1	FW
chr3	35137196	35137197	TG	-	1	42	1	42	0	-	MK01_ctrl_1	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	1	RV
chr3	35137199	35137200	TA	-	2	42	2	42	0	-	MK01_ctrl_1	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	1	RV
chr3	35212891	35212892	TA	+	3	42	0	-	3	42	MK01_ctrl_1	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	1	FW
chr3	35483722	35483723	TA	+	1	42	0	-	1	42	MK01_ctrl_1	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	1	FW
chr3	45704848	45704849	TA	-	2	41	2	41	0	-	MK01_ctrl_1	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	1	RV
chr3	59508995	59508996	TC	-	1	42	1	42	0	-	MK01_ctrl_1	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	1	RV
chr3	59509000	59509001	TA	-	2	31.5	2	31.5	0	-	MK01_ctrl_1	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	1	RV
chr3	91440735	91440736	TA	-	1	23	1	23	0	-	MK01_ctrl_1	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	1	RV
chr3	123596887	123596888	TA	-	1	23	1	23	0	-	MK01_ctrl_1	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	1	RV
chr1	52872660	52872661	TA	+	1	24	1	24	0	-	MK01_ctrl_1	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	1	FW
chr4	115107858	115107859	TA	+	1	11	1	11	0	-	MK01_ctrl_1	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	1	FW
chr5	50166512	50166513	TA	+	1	23	0	-	1	23	MK01_ctrl_1	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	1	FW
chr5	117310519	117310520	TA	-	1	15	0	-	1	15	MK01_ctrl_1	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	1	RV
chr5	136438340	136438341	TA	-	1	23	1	23	0	-	MK01_ctrl_1	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	1	RV
chr6	63471817	63471818	TA	-	1	42	0	-	1	42	MK01_ctrl_1	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	1	RV
chr6	143771344	143771345	TA	-	1	23	0	-	1	23	MK01_ctrl_1	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	1	RV
chr8	7781968	7781969	TA	-	1	15	0	-	1	15	MK01_ctrl_1	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	1	RV
chr8	27119521	27119522	TA	-	1	23	1	23	0	-	MK01_ctrl_1	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	1	RV
chr10	56104072	56104073	TA	-	1	15	1	15	0	-	MK01_ctrl_1	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	1	RV
chr10	71532424	71532425	TA	-	1	11	1	11	0	-	MK01_ctrl_1	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	1	RV
chr2	71315250	71315251	TA	-	1	42	0	-	1	42	MK01_ctrl_1	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	1	RV
chr10	80730826	80730827	TA	-	1	24	1	24	0	-	MK01_ctrl_1	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	1	RV
chr14	51560744	51560745	TA	+	1	31	1	31	0	-	MK01_ctrl_1	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	1	FW
chr16	40269549	40269550	TA	+	1	42	0	-	1	42	MK01_ctrl_1	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	1	FW
chr16	51305673	51305674	TA	-	1	16	0	-	1	16	MK01_ctrl_1	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	1	RV
chrX	88303904	88303905	TA	-	1	23	1	23	0	-	MK01_ctrl_1	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	1	RV
chr3	34175892	34175893	TA	+	1	40	0	-	1	40	MK01_ctrl_1	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	1	FW
chr3	34589120	34589121	TA	-	1	42	0	-	1	42	MK01_ctrl_1	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	1	RV
chr3	34643368	34643369	TA	-	1	42	0	-	1	42	MK01_ctrl_1	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	1	RV
chr3	34643961	34643962	TA	+	618	42	272	42	346	42	MK01_ctrl_1	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	1	FW
chr3	34645335	34645336	TA	+	1	42	0	-	1	42	MK01_ctrl_1	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	1	FW
chr3	34750937	34750938	TA	+	1	42	0	-	1	42	MK01_ctrl_1	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	1	FW
chr1	143228398	143228399	TA	-	1	11	0	-	1	11	MK01_ctrl_10	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	10	RV
chr3	34765645	34765646	TA	+	2	42	0	-	2	42	MK01_ctrl_10	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	10	FW
chr3	34775246	34775247	TA	-	2	41	2	41	0	-	MK01_ctrl_10	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	10	RV
chr3	34942095	34942096	TA	-	1	42	1	42	0	-	MK01_ctrl_10	E2285	-116 kb	WT	CBS3x_Fw_Sox2P	23_MK01_C5	rep1	ctrl	control pool	10	RV
