chr	start	end	seq	strand	read_count	mapq	read_count_1	mapq_1	read_count_2	mapq_2	experiment	replicate	genotype	launch_pad_location	insert	sample_type	sorted_gate	pool_nr	sample_name	ctrl_lib_nr	name	genotype_for_title
chr1	5480489	5480490	TA	+	1	32	0	-	1	32	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr1	12610257	12610258	TA	-	1	42	0	-	1	42	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr1	128738904	128738905	TA	-	1	23	0	-	1	23	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	27193519	27193520	TA	-	1	11	0	-	1	11	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	27502136	27502137	TA	-	1	24	0	-	1	24	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	28302399	28302400	TA	-	1	42	0	-	1	42	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	28864555	28864556	TA	+	1	24	0	-	1	24	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	30915744	30915745	TA	+	1	40	0	-	1	40	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	32344303	32344304	TA	-	1	42	0	-	1	42	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	33753989	33753990	TA	-	1	24	0	-	1	24	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	34950302	34950303	TA	-	1	42	0	-	1	42	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	39055658	39055659	TA	-	1	11	0	-	1	11	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	39282121	39282122	TA	-	1	42	1	42	0	-	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr1	128794588	128794589	TA	-	1	24	1	24	0	-	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	40484750	40484751	TA	-	1	24	1	24	0	-	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	40988792	40988793	TA	-	1	42	0	-	1	42	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	41727741	41727742	TA	-	1	42	0	-	1	42	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	45106107	45106108	TA	+	1	42	0	-	1	42	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	45326683	45326684	TA	-	1	42	0	-	1	42	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	46359179	46359180	TA	+	1	24	0	-	1	24	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	46455726	46455727	TA	-	1	40	0	-	1	40	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	47943351	47943352	TA	-	1	42	0	-	1	42	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	49159094	49159095	TA	+	1	42	0	-	1	42	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	49290354	49290355	TA	-	1	40	0	-	1	40	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr1	128931578	128931579	TA	+	1	42	0	-	1	42	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	49660883	49660884	TA	-	1	42	0	-	1	42	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	53078420	53078421	TA	+	1	42	0	-	1	42	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	53148471	53148472	TA	-	1	42	0	-	1	42	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	53349822	53349823	TA	+	1	42	0	-	1	42	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	55458377	55458378	TA	+	2	32.5	2	32.5	0	-	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	56417714	56417715	TA	-	1	23	0	-	1	23	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	56893493	56893494	TA	-	2	42	1	42	1	42	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	57150582	57150583	TA	-	1	23	1	23	0	-	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	57821065	57821066	TA	+	1	42	1	42	0	-	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	58130981	58130982	TA	+	1	42	0	-	1	42	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr1	129315615	129315616	TA	+	1	42	0	-	1	42	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	59493663	59493664	TA	-	1	42	0	-	1	42	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	59555070	59555071	TA	-	1	42	1	42	0	-	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	64247754	64247755	TA	-	1	12	0	-	1	12	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	64271562	64271563	TA	+	1	42	1	42	0	-	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	65575039	65575040	TA	+	1	40	0	-	1	40	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	69341334	69341335	TA	+	1	24	0	-	1	24	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	69808981	69808982	TA	-	1	24	0	-	1	24	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	70375071	70375072	TA	-	1	31	1	31	0	-	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	73226124	73226125	TA	-	1	18	0	-	1	18	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	76539066	76539067	TA	+	1	42	0	-	1	42	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr1	131730736	131730737	TA	-	1	40	0	-	1	40	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	78637743	78637744	TA	+	1	40	0	-	1	40	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
chr4	80300672	80300673	TA	+	1	35	0	-	1	35	E2138	rep1	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep1	NA	NA	NA
